INFO - main.py - 2024-12-08 15:28:46,677 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:28:46,678 - Writing log file to run/logs/0
INFO - main.py - 2024-12-08 15:28:46,679 - Exp instance id = 178228
INFO - main.py - 2024-12-08 15:28:46,679 - Exp comment = 
INFO - main.py - 2024-12-08 15:28:46,679 - Config =
INFO - anneal_runner.py - 2024-12-08 15:29:50,554 - step: 65, loss: 198.54112243652344
INFO - anneal_runner.py - 2024-12-08 15:29:51,440 - step: 66, loss: 189.55125427246094
INFO - anneal_runner.py - 2024-12-08 15:29:52,333 - step: 67, loss: 204.91500854492188
INFO - anneal_runner.py - 2024-12-08 15:29:53,224 - step: 68, loss: 190.65191650390625
INFO - anneal_runner.py - 2024-12-08 15:29:54,112 - step: 69, loss: 179.85406494140625
INFO - anneal_runner.py - 2024-12-08 15:29:55,002 - step: 70, loss: 187.58572387695312
INFO - anneal_runner.py - 2024-12-08 15:29:55,893 - step: 71, loss: 202.57928466796875
INFO - anneal_runner.py - 2024-12-08 15:29:56,779 - step: 72, loss: 191.72244262695312
INFO - anneal_runner.py - 2024-12-08 15:29:57,664 - step: 73, loss: 199.54019165039062
INFO - anneal_runner.py - 2024-12-08 15:29:58,550 - step: 74, loss: 177.2307891845703
INFO - anneal_runner.py - 2024-12-08 15:29:59,442 - step: 75, loss: 176.77703857421875
INFO - anneal_runner.py - 2024-12-08 15:30:00,328 - step: 76, loss: 202.03497314453125
INFO - anneal_runner.py - 2024-12-08 15:30:01,214 - step: 77, loss: 199.55528259277344
INFO - anneal_runner.py - 2024-12-08 15:30:02,100 - step: 78, loss: 172.09149169921875
INFO - anneal_runner.py - 2024-12-08 15:30:02,988 - step: 79, loss: 193.95286560058594
INFO - anneal_runner.py - 2024-12-08 15:30:03,875 - step: 80, loss: 171.5252685546875
INFO - anneal_runner.py - 2024-12-08 15:30:04,761 - step: 81, loss: 168.10870361328125
INFO - anneal_runner.py - 2024-12-08 15:30:05,647 - step: 82, loss: 168.03085327148438
INFO - anneal_runner.py - 2024-12-08 15:30:06,538 - step: 83, loss: 181.02474975585938
INFO - anneal_runner.py - 2024-12-08 15:30:07,431 - step: 84, loss: 171.65431213378906
