INFO - main.py - 2024-12-08 15:52:17,661 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:52:17,662 - Writing log file to run/logs/tenepochs
INFO - main.py - 2024-12-08 15:52:17,662 - Exp instance id = 182172
INFO - main.py - 2024-12-08 15:52:17,662 - Exp comment = 
INFO - main.py - 2024-12-08 15:52:17,663 - Config =
INFO - anneal_runner.py - 2024-12-08 15:53:23,459 - step: 65, loss: 198.5485076904297
INFO - anneal_runner.py - 2024-12-08 15:53:24,370 - step: 66, loss: 189.6736297607422
INFO - anneal_runner.py - 2024-12-08 15:53:25,283 - step: 67, loss: 204.95733642578125
INFO - anneal_runner.py - 2024-12-08 15:53:26,205 - step: 68, loss: 190.74217224121094
INFO - anneal_runner.py - 2024-12-08 15:53:27,116 - step: 69, loss: 179.88548278808594
INFO - anneal_runner.py - 2024-12-08 15:53:28,030 - step: 70, loss: 187.96356201171875
INFO - anneal_runner.py - 2024-12-08 15:53:28,943 - step: 71, loss: 203.47378540039062
INFO - anneal_runner.py - 2024-12-08 15:53:29,855 - step: 72, loss: 194.1070556640625
INFO - anneal_runner.py - 2024-12-08 15:53:30,771 - step: 73, loss: 200.19912719726562
INFO - anneal_runner.py - 2024-12-08 15:53:31,685 - step: 74, loss: 178.86468505859375
INFO - anneal_runner.py - 2024-12-08 15:53:32,597 - step: 75, loss: 178.95169067382812
INFO - anneal_runner.py - 2024-12-08 15:53:33,514 - step: 76, loss: 200.96987915039062
INFO - anneal_runner.py - 2024-12-08 15:53:34,431 - step: 77, loss: 201.16734313964844
INFO - anneal_runner.py - 2024-12-08 15:53:35,349 - step: 78, loss: 171.392822265625
INFO - anneal_runner.py - 2024-12-08 15:53:36,260 - step: 79, loss: 194.22735595703125
INFO - anneal_runner.py - 2024-12-08 15:53:37,172 - step: 80, loss: 172.31124877929688
INFO - anneal_runner.py - 2024-12-08 15:53:38,083 - step: 81, loss: 168.31039428710938
INFO - anneal_runner.py - 2024-12-08 15:53:38,996 - step: 82, loss: 168.8957977294922
INFO - anneal_runner.py - 2024-12-08 15:53:39,909 - step: 83, loss: 180.98915100097656
INFO - anneal_runner.py - 2024-12-08 15:53:40,822 - step: 84, loss: 171.94155883789062
INFO - anneal_runner.py - 2024-12-08 15:53:41,734 - step: 85, loss: 185.73435974121094
INFO - anneal_runner.py - 2024-12-08 15:53:42,643 - step: 86, loss: 167.5284881591797
INFO - anneal_runner.py - 2024-12-08 15:53:43,550 - step: 87, loss: 191.42050170898438
INFO - anneal_runner.py - 2024-12-08 15:53:44,463 - step: 88, loss: 165.620361328125
INFO - anneal_runner.py - 2024-12-08 15:53:45,372 - step: 89, loss: 187.817626953125
INFO - anneal_runner.py - 2024-12-08 15:53:46,284 - step: 90, loss: 178.75680541992188
INFO - anneal_runner.py - 2024-12-08 15:53:47,199 - step: 91, loss: 172.80149841308594
INFO - anneal_runner.py - 2024-12-08 15:53:48,106 - step: 92, loss: 171.13587951660156
INFO - anneal_runner.py - 2024-12-08 15:53:49,017 - step: 93, loss: 171.30474853515625
INFO - anneal_runner.py - 2024-12-08 15:53:49,930 - step: 94, loss: 185.99200439453125
INFO - anneal_runner.py - 2024-12-08 15:53:50,848 - step: 95, loss: 151.1781463623047
INFO - anneal_runner.py - 2024-12-08 15:53:51,764 - step: 96, loss: 176.8948211669922
INFO - anneal_runner.py - 2024-12-08 15:53:52,671 - step: 97, loss: 194.51296997070312
INFO - anneal_runner.py - 2024-12-08 15:53:53,582 - step: 98, loss: 173.96414184570312
INFO - anneal_runner.py - 2024-12-08 15:53:54,491 - step: 99, loss: 149.07504272460938
INFO - anneal_runner.py - 2024-12-08 15:53:55,401 - step: 100, loss: 174.08868408203125
INFO - anneal_runner.py - 2024-12-08 15:53:56,660 - step: 101, loss: 171.55581665039062
INFO - anneal_runner.py - 2024-12-08 15:53:57,568 - step: 102, loss: 196.58351135253906
INFO - anneal_runner.py - 2024-12-08 15:53:58,472 - step: 103, loss: 173.65939331054688
INFO - anneal_runner.py - 2024-12-08 15:53:59,380 - step: 104, loss: 169.45330810546875
INFO - anneal_runner.py - 2024-12-08 15:54:00,296 - step: 105, loss: 144.25018310546875
INFO - anneal_runner.py - 2024-12-08 15:54:01,218 - step: 106, loss: 169.33477783203125
INFO - anneal_runner.py - 2024-12-08 15:54:02,135 - step: 107, loss: 168.7226104736328
INFO - anneal_runner.py - 2024-12-08 15:54:03,058 - step: 108, loss: 174.9027099609375
INFO - anneal_runner.py - 2024-12-08 15:54:03,972 - step: 109, loss: 164.70835876464844
INFO - anneal_runner.py - 2024-12-08 15:54:04,879 - step: 110, loss: 176.6160888671875
INFO - anneal_runner.py - 2024-12-08 15:54:05,794 - step: 111, loss: 159.0383758544922
INFO - anneal_runner.py - 2024-12-08 15:54:06,703 - step: 112, loss: 159.40902709960938
INFO - anneal_runner.py - 2024-12-08 15:54:07,614 - step: 113, loss: 156.13427734375
INFO - anneal_runner.py - 2024-12-08 15:54:08,531 - step: 114, loss: 180.4486846923828
INFO - anneal_runner.py - 2024-12-08 15:54:09,441 - step: 115, loss: 161.17575073242188
INFO - anneal_runner.py - 2024-12-08 15:54:10,359 - step: 116, loss: 164.65692138671875
INFO - anneal_runner.py - 2024-12-08 15:54:11,271 - step: 117, loss: 156.14781188964844
INFO - anneal_runner.py - 2024-12-08 15:54:12,185 - step: 118, loss: 157.5531005859375
INFO - anneal_runner.py - 2024-12-08 15:54:13,097 - step: 119, loss: 172.2878875732422
INFO - anneal_runner.py - 2024-12-08 15:54:14,013 - step: 120, loss: 152.35467529296875
INFO - anneal_runner.py - 2024-12-08 15:54:14,926 - step: 121, loss: 174.1527099609375
INFO - anneal_runner.py - 2024-12-08 15:54:15,839 - step: 122, loss: 162.00827026367188
INFO - anneal_runner.py - 2024-12-08 15:54:16,755 - step: 123, loss: 149.49746704101562
INFO - anneal_runner.py - 2024-12-08 15:54:17,672 - step: 124, loss: 161.19960021972656
INFO - anneal_runner.py - 2024-12-08 15:54:18,589 - step: 125, loss: 164.96461486816406
INFO - anneal_runner.py - 2024-12-08 15:54:19,510 - step: 126, loss: 158.4540557861328
INFO - anneal_runner.py - 2024-12-08 15:54:20,426 - step: 127, loss: 155.40367126464844
INFO - anneal_runner.py - 2024-12-08 15:54:21,334 - step: 128, loss: 149.00186157226562
INFO - anneal_runner.py - 2024-12-08 15:54:22,245 - step: 129, loss: 145.4480438232422
INFO - anneal_runner.py - 2024-12-08 15:54:23,159 - step: 130, loss: 152.11929321289062
INFO - anneal_runner.py - 2024-12-08 15:54:24,076 - step: 131, loss: 156.47850036621094
INFO - anneal_runner.py - 2024-12-08 15:54:24,993 - step: 132, loss: 151.6636199951172
INFO - anneal_runner.py - 2024-12-08 15:54:25,910 - step: 133, loss: 149.245361328125
INFO - anneal_runner.py - 2024-12-08 15:54:26,828 - step: 134, loss: 159.27093505859375
INFO - anneal_runner.py - 2024-12-08 15:54:27,743 - step: 135, loss: 145.49810791015625
INFO - anneal_runner.py - 2024-12-08 15:54:28,654 - step: 136, loss: 148.37933349609375
INFO - anneal_runner.py - 2024-12-08 15:54:29,566 - step: 137, loss: 125.4093017578125
INFO - anneal_runner.py - 2024-12-08 15:54:30,483 - step: 138, loss: 172.53668212890625
INFO - anneal_runner.py - 2024-12-08 15:54:31,399 - step: 139, loss: 125.19432067871094
INFO - anneal_runner.py - 2024-12-08 15:54:32,319 - step: 140, loss: 143.58688354492188
INFO - anneal_runner.py - 2024-12-08 15:54:33,239 - step: 141, loss: 171.10891723632812
INFO - anneal_runner.py - 2024-12-08 15:54:34,158 - step: 142, loss: 134.505615234375
INFO - anneal_runner.py - 2024-12-08 15:54:35,084 - step: 143, loss: 137.0835723876953
